분류,순위,가수명,인기곡,앨범이미지,유튜브링크
남자솔로,1,임영웅,사랑은 늘 도망가,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/94/944/994944_20221115161408_500.jpg,https://www.youtube.com/watch?v=LKQ-18LoFQk
남자솔로,2,Charlie Puth,I Don't Think That I Like Her,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/38/654/838654_20230331115239_500.jpg,https://www.youtube.com/watch?v=9voN0gkdlS4
남자솔로,3,SUGA,사람 Pt.2 (feat. 아이유),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/25/988/725988_20230407102939_500.jpg,https://www.youtube.com/watch?v=uVD-YgzDzyY
남자솔로,4,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM),https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/44/750/2744750_20230228111024_500.jpg,https://www.youtube.com/watch?v=DYrY1E4-9NI
남자솔로,5,지민,Like Crazy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/25/985/725985_20230324113918_500.jpg,https://www.youtube.com/watch?v=nOI67IDlNMQ
남자솔로,6,10CM,그라데이션,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/68/244/468244_20220930100210_500.jpg,https://www.youtube.com/watch?v=VQZXXciZb_c
남자솔로,7,Justin Bieber,STAY,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/20/621/420621_20220429145301_500.jpg,https://www.youtube.com/watch?v=Ec7TN_11az8
남자솔로,8,Zior Park,CHRISTIAN,https://cdnimg.melon.co.kr/cm2/artistcrop/images/020/85/020/2085020_20221114151828_500.jpg,https://www.youtube.com/watch?v=Dqlr8EDunCM
남자솔로,9,박재범,GANADARA (Feat. 아이유),https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/43/420/443420_20230210160014_500.jpg,https://www.youtube.com/watch?v=gFb1TftvdoM
남자솔로,10,주호,내가 아니라도,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/83/631/683631_20221202144750_500.jpg,https://www.youtube.com/watch?v=lAq9l8o6UXU
남자솔로,11,성시경,너의 모든 순간,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/03/305/3305_20210521133532_500.jpg,https://www.youtube.com/watch?v=i2aRMXZR1k0
남자솔로,12,BE'O (비오),LOVE me,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/58/756/2758756_20220929141455_500.jpg,https://www.youtube.com/watch?v=G0ofW1OOTrU
남자솔로,13,릴러말즈 (Leellamarz),Trip (Feat. Hannah),https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/67/229/967229_20210805170241_500.jpg,https://www.youtube.com/watch?v=K7o4nYV0ns4
남자솔로,14,코드 쿤스트 (CODE KUNST),"Jumper (Feat. 개코, MINO)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/24/086/724086_20230316113059_500.jpg,https://www.youtube.com/watch?v=2C3A2GrfOeM
남자솔로,15,영탁,찐이야,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/53/762/753762_20220704142616_500.jpg,https://www.youtube.com/watch?v=dNUncvc6mcM
남자솔로,16,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/52/425/752425_20220614113654_500.jpg,https://www.youtube.com/watch?v=1q_t6RNuH8c
남자솔로,17,기리보이,KISS ME (Feat. BIG Naughty),https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/85/492/585492_20220520155031_500.jpg,https://www.youtube.com/watch?v=W5COX-2ajDU
남자솔로,18,정동원,여백,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/49/421/2749421_20221201134335_500.jpg,https://www.youtube.com/watch?v=rlRrWB8wB1I
남자솔로,19,우디 (Woody),Nostalgia,https://cdnimg.melon.co.kr/cm/artistcrop/images/006/73/033/673033_500.jpg,https://www.youtube.com/watch?v=FaIqFOU_uUw
남자솔로,20,김호중,그중에 그대를 만나,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/20/018/720018_20220727122202_500.jpg,https://www.youtube.com/watch?v=Re-na85d8l0
남자솔로,21,죠지,Boat,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/90/830/790830_20230406144114_500.jpg,https://www.youtube.com/watch?v=lAx7C_uUhFo
남자솔로,22,마크 (MARK),Golden Hour,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/65/986/965986_20230120112221_500.jpg,https://www.youtube.com/watch?v=EUsUqd20c_k
남자솔로,23,싸이 (PSY),That That (prod. & feat. SUGA of BTS),https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/03/865/3865_20220429113018_500.jpg,https://www.youtube.com/watch?v=8dJyRm2jJ-U
남자솔로,24,지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/02/056/602056_20220719141051_500.jpg,https://www.youtube.com/watch?v=azaZt7eccnc
남자솔로,25,Ed Sheeran,Eyes Closed,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/49/800/549800_20230324133523_500.jpg,https://www.youtube.com/watch?v=u6wOyMUs74I
남자솔로,26,DK(디셈버),심(心),https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/24/801/524801_20230112145951_500.jpg,https://www.youtube.com/watch?v=OMjDI2NqQ9M
남자솔로,27,#안녕,해요 (2022),https://cdnimg.melon.co.kr/cm/artistcrop/images/010/24/489/1024489_500.jpg,https://www.youtube.com/watch?v=P6gV_t70KAk
남자솔로,28,김승민,내 기쁨은 너가 벤틀리를 끄는 거야,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/27/322/827322_20230117145516_500.jpg,https://www.youtube.com/watch?v=nhpteF75kg8
남자솔로,29,임한별,사랑하지 않아서 그랬어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/71/741/471741_20230331171420_500.jpg,https://www.youtube.com/watch?v=ve7vLxUVFpE
남자솔로,30,적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/71/375/771375_20221109135747_500.jpg,https://www.youtube.com/watch?v=26YwXUcUf4I
남자솔로,31,임창정,그대라는 사치,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/142/1142_20230208100929_500.jpg,https://www.youtube.com/watch?v=cdmiRnRP0Fo
남자솔로,32,TOIL,네 옆에 그 사람은 내가 아닌 다른사람,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/90/430/2190430_20220520134906_500.jpg,https://www.youtube.com/watch?v=iwgkwriv0OE
남자솔로,33,Crush,Rush Hour (Feat. j-hope of BTS),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/74/710/674710_20220922150716_500.jpg,https://www.youtube.com/watch?v=PS0qkO5qty0
남자솔로,34,imase,NIGHT DANCER,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/60/228/3060228_20230203164411_500.jpg,https://www.youtube.com/watch?v=kagoEGKHZvU
남자솔로,35,Lauv,Paris in the Rain,https://cdnimg.melon.co.kr/cm2/artistcrop/images/019/56/543/1956543_20220805103616_500.jpg,https://www.youtube.com/watch?v=kOCkne-Bku4
남자솔로,36,먼데이 키즈 (Monday Kiz),되돌리다,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/75/155/175155_20221103144756_500.jpg,https://www.youtube.com/watch?v=t7sd6vZy-g8
남자솔로,37,이무진,신호등,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/38/620/2138620_20220617111739_500.jpg,https://www.youtube.com/watch?v=Fc9fVi-_DWE
남자솔로,38,이승윤,언덕나무,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/23/192/723192_20230126160545_500.jpg,https://www.youtube.com/watch?v=-YxdzUEpyWA
남자솔로,39,김민석 (멜로망스),취중고백,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/39/736/839736_20220503105425_500.jpg,https://www.youtube.com/watch?v=VMQl78z1DiY
남자솔로,40,박효신,야생화,https://cdnimg.melon.co.kr/cm/artistcrop/images/000/01/191/1191_500.jpg,https://www.youtube.com/watch?v=OxgiiyLp5pk
남자솔로,41,정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/25/987/725987_20221024121346_500.jpg,https://www.youtube.com/watch?v=IwzkfMmNMpM
남자솔로,42,창모 (CHANGMO),METEOR,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/74/900/774900_20210723170138_500.jpg,https://www.youtube.com/watch?v=lOrU0MH0bMk
남자솔로,43,Sam Smith,Unholy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/18/042/718042_20230125143735_500.jpg,https://www.youtube.com/watch?v=Uq9gPaIzbe8
남자솔로,44,이찬원,풍등,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/63/924/2763924_20230220174940_500.jpg,https://www.youtube.com/watch?v=yaeG5iPP414
남자솔로,45,허각,너 하나 빼는 일,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/28/801/28801_20230309111228_500.jpg,https://www.youtube.com/watch?v=wi5EefCU9K0
남자솔로,46,ASH ISLAND,멜로디,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/12/495/2112495_20210308175623_500.jpg,https://www.youtube.com/watch?v=NB8LX6A5BBM
남자솔로,47,Alan Walker,The Drum,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/43/471/943471_20220502105122_500.jpg,https://www.youtube.com/watch?v=TicGJQqrq2M
남자솔로,48,백현 (BAEKHYUN),Dream (Prod. by 박근태),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/72/859/672859_20210603102933_500.jpg,https://www.youtube.com/watch?v=WfYgbFBFe1E
남자솔로,49,G-DRAGON,삐딱하게 (Crooked),https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/06/984/6984_20220404174844_500.jpg,https://www.youtube.com/watch?v=RKhsHGfrFmY
남자솔로,50,Yonezu Kenshi,Lemon,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/42/577/742577_20221020165701_500.jpg,https://www.youtube.com/watch?v=SX_ViT4Ra7k
여자솔로,1,아이유,봄 사랑 벚꽃 말고,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/61/143/261143_20210325180240_500.jpg,https://www.youtube.com/watch?v=ouR4nn1G9r4
여자솔로,2,지수 (JISOO),꽃,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/174/995174_20230331113916_500.jpg,https://www.youtube.com/watch?v=YudHcBIxlYw
여자솔로,3,볼빨간사춘기,Love story,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/92/022/792022_20220418142336_500.jpg,https://www.youtube.com/watch?v=E35In9bsWh4
여자솔로,4,윤하 (YOUNHA),사건의 지평선,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/03/912/203912_20220330112405_500.jpg,https://www.youtube.com/watch?v=BBdC1rl5sKY
여자솔로,5,태연 (TAEYEON),혼자서 걸어요 (Prod. by 나얼),https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/36/797/236797_20230113111110_500.jpg,https://www.youtube.com/watch?v=qSdyigEP2jY
여자솔로,6,헤이즈 (Heize),빙글빙글 (Prod. R.Tee),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/51/611/751611_20230403143900_500.jpg,https://www.youtube.com/watch?v=FanfDDjFyT8
여자솔로,7,백예린 (Yerin Baek),Square (2017),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/98/776/698776_20221230145138_500.jpg,https://www.youtube.com/watch?v=4iFP_wd6QU8
여자솔로,8,Aimyon,愛を伝えたいだとか / Ai Wo Tsutaetaidatoka (사랑을 전하고 싶다든가),https://cdnimg.melon.co.kr/cm2/artistcrop/images/016/25/441/1625441_20230405150156_500.jpg,https://www.youtube.com/watch?v=ltwazF77Owg
여자솔로,9,송하예,너를 보는게 지친 하루에,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/22/098/722098_20211022162650_500.jpg,https://www.youtube.com/watch?v=W-4fo94U4Tc
여자솔로,10,송가인,당신을 만나,https://cdnimg.melon.co.kr/cm2/artistcrop/images/017/01/869/1701869_20220427134633_500.jpg,https://www.youtube.com/watch?v=mFiODtFjIaE
여자솔로,11,백아,첫사랑,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/13/114/2113114_20230130115533_500.jpg,https://www.youtube.com/watch?v=RROW1FvQjqA
여자솔로,12,지아,사랑하기 싫어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/27/595/227595_20210217104823_500.jpg,https://www.youtube.com/watch?v=bKfQmdCWKoQ
여자솔로,13,Anne-Marie,Expectations,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/70/307/870307_20230309175316_500.jpg,https://www.youtube.com/watch?v=jrt4iWhofPA
여자솔로,14,권진아,운이 좋았지,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/60/046/760046_20230308164854_500.jpg,https://www.youtube.com/watch?v=CLR9dytvnmM
여자솔로,15,Ariana Grande,Stuck with U,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/97/451/597451_20201027115530_500.jpg,https://www.youtube.com/watch?v=h2jvHynuMjI
여자솔로,16,케이시 (Kassy),언제나 사랑해,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/125/858125_20221129114501_500.jpg,https://www.youtube.com/watch?v=mHRqPS2pqD0
여자솔로,17,최유리,그댄 행복에 살텐데 (2022),https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/45/970/2645970_20220519112923_500.jpg,https://www.youtube.com/watch?v=mwTnWKAvFyo
여자솔로,18,비비 (BIBI),LAW (Prod. Czaer),https://cdnimg.melon.co.kr/cm2/artistcrop/images/024/03/002/2403002_20220927114113_500.jpg,https://www.youtube.com/watch?v=wIRt5my06pw
여자솔로,19,21학번,스티커 사진,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/31/537/2931537_20210412101627_500.jpg,https://www.youtube.com/watch?v=ArvOtRsecVQ
여자솔로,20,경서,나의 X에게,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/94/005/994005_20221026121614_500.jpg,https://www.youtube.com/watch?v=iAfxyHOmHrM
여자솔로,21,에일리(Ailee),첫눈처럼 너에게 가겠다,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/29/831/629831_20211027134955_500.jpg,https://www.youtube.com/watch?v=6rS7OUGXUik
여자솔로,22,은하 (EUNHA),후우 (Who?),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/237/858237_20230131094331_500.jpg,https://www.youtube.com/watch?v=mJhvVjHs-cc
여자솔로,23,청하,When I Get Old,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/68/265/968265_20220711154432_500.jpg,https://www.youtube.com/watch?v=Ua3aNDJE_Cg
여자솔로,24,신예영,마지막 사랑,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/40/042/2740042_20230120173133_500.jpg,https://www.youtube.com/watch?v=bokR8sXylQE
여자솔로,25,김나영,봄 내음보다 너를,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/35/094/735094_20220831122700_500.jpg,https://www.youtube.com/watch?v=NfmAb14lpzY
여자솔로,26,정은지,All For You,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/44/871/644871_20230405135410_500.jpg,https://www.youtube.com/watch?v=XPbOlL5pQ2g
여자솔로,27,펀치 (Punch),Say Yes,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/49/640/749640_20221129113741_500.jpg,https://www.youtube.com/watch?v=5UQzXbizT-s
여자솔로,28,안예은,낮에 뜨는 달 (낮에 뜨는 달 X 안예은),https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/47/099/947099_20210730145045_500.jpg,https://www.youtube.com/watch?v=3GHp14Tddbw
여자솔로,29,이영지,NOT SORRY (Feat. pH-1) (Prod. by Slom),https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/36/153/2636153_20211029114418_500.jpg,https://www.youtube.com/watch?v=YSEcAElZwF8
여자솔로,30,Taylor Swift,Anti-Hero,https://cdnimg.melon.co.kr/cm2/artistcrop/images/003/25/867/325867_20221021164716_500.jpg,https://www.youtube.com/watch?v=b1kbLwvqugk
여자솔로,31,CHEEZE (치즈),Madeleine Love,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/97/191/597191_20220530174000_500.jpg,https://www.youtube.com/watch?v=IuqOUNEQOP0
여자솔로,32,이하이,한숨,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/46/171/646171_20210827180057_500.jpg,https://www.youtube.com/watch?v=5iSlfF8TQ9k
여자솔로,33,선미,불이 꺼지고,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/22/938/22938_20220629112242_500.jpg,https://www.youtube.com/watch?v=n1b74Poei_M
여자솔로,34,HYNN (박혜원),시든 꽃에 물을 주듯,https://cdnimg.melon.co.kr/cm2/artistcrop/images/012/29/685/1229685_20221123142803_500.jpg,https://www.youtube.com/watch?v=PCKBx-ors60
여자솔로,35,민니 ((여자)아이들),Expectations,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/38/419/2138419_20221017120009_500.jpg,https://www.youtube.com/watch?v=jrt4iWhofPA
여자솔로,36,YENA (최예나),SMILEY (Feat. BIBI),https://cdnimg.melon.co.kr/cm2/artistcrop/images/023/99/724/2399724_20230116133833_500.jpg,https://www.youtube.com/watch?v=y9kkXTucnLU
여자솔로,37,유주 (YUJU),우연히 봄,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/238/858238_20230307113823_500.jpg,https://www.youtube.com/watch?v=ftH1Z6CIqHU
여자솔로,38,이예준,니 번호가 뜨는 일,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/18/655/718655_500.jpg,https://www.youtube.com/watch?v=rhr2H5k0URc
여자솔로,39,거미,You Are My Everything,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/30/358/30358_20230127103808_500.jpg,https://www.youtube.com/watch?v=ToASX6axGuw
여자솔로,40,백지영,거짓말이라도 해서 널 보고싶어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/118/1118_500.jpg,https://www.youtube.com/watch?v=QE3Ma3wYZ28
여자솔로,41,소유 (SOYOU),썸 (Feat. 릴보이 Of 긱스),https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/90/981/490981_20220422110615_500.jpg,https://www.youtube.com/watch?v=Y-FhDScM_2w
여자솔로,42,조이 (JOY),여우야,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/80/922/780922_20221124113000_500.jpg,https://www.youtube.com/watch?v=p9eW-K_yQGw
여자솔로,43,린,...사랑했잖아...,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/08/530/8530_20221021140028_500.jpg,https://www.youtube.com/watch?v=XQLmFuqVri0
여자솔로,44,김연지,사랑의 인사,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/28/803/428803_20211124143325_500.jpg,https://www.youtube.com/watch?v=eJcxC1f-YTM
여자솔로,45,Billie Eilish,bad guy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/012/39/008/1239008_20220722104746_500.jpg,https://www.youtube.com/watch?v=DyDfgMOUjCI
여자솔로,46,보아 (BoA),아틀란티스 소녀 (Atlantis Princess),https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/02/165/2165_20230113111025_500.jpg,https://www.youtube.com/watch?v=skbnuIhVQUA
여자솔로,47,Sia,Snowman,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/54/103/54103_20211124163351_500.jpg,https://www.youtube.com/watch?v=gset79KMmt0
여자솔로,48,벤,열애중,https://cdnimg.melon.co.kr/cm/artistcrop/images/006/55/051/655051_500.jpg,https://www.youtube.com/watch?v=PrqBlVtliqs
여자솔로,49,수지 (Suzy),Dream (Prod. by 박근태),https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/14/741/514741_20221006152554_500.jpg,https://www.youtube.com/watch?v=WfYgbFBFe1E
여자솔로,50,제이세라,어디선가 나처럼 이 노랠 듣고 있을 너에게,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/84/881/484881_20230102104207_500.jpg,https://www.youtube.com/watch?v=QmaufhgnI8o
